"","penalty_fn","replicate","Assumption","variable","value"
"332","L1","rep_32","Reed","profits",202.032391634528
"333","L1","rep_33","Reed","profits",199.493640898062
"334","L1","rep_34","Reed","profits",190.750864985899
"335","L1","rep_35","Reed","profits",214.551092495149
"336","L1","rep_36","Reed","profits",191.596168964131
"337","L1","rep_37","Reed","profits",158.954224105902
"338","L1","rep_38","Reed","profits",167.68089144026
"339","L1","rep_39","Reed","profits",173.2030110072
"340","L1","rep_40","Reed","profits",161.043069194403
"341","L1","rep_41","Reed","profits",252.838635122047
"342","L1","rep_42","Reed","profits",221.194258836178
"343","L1","rep_43","Reed","profits",179.462031912625
"344","L1","rep_44","Reed","profits",113.5156963226
"345","L1","rep_45","Reed","profits",188.606003836876
"346","L1","rep_46","Reed","profits",227.161089479699
"347","L1","rep_47","Reed","profits",162.498053395656
"348","L1","rep_48","Reed","profits",224.104241195748
"349","L1","rep_49","Reed","profits",152.180490179614
"350","L1","rep_50","Reed","profits",146.355044817387
"351","L1","rep_51","Reed","profits",197.440487025179
"352","L1","rep_52","Reed","profits",197.585348430784
"353","L1","rep_53","Reed","profits",173.295224473027
"354","L1","rep_54","Reed","profits",216.382041885624
"355","L1","rep_55","Reed","profits",179.516757001025
"356","L1","rep_56","Reed","profits",185.849301643872
"357","L1","rep_57","Reed","profits",193.04339928841
"358","L1","rep_58","Reed","profits",187.484142752038
"359","L1","rep_59","Reed","profits",196.035028930497
"360","L1","rep_60","Reed","profits",182.804189425133
"361","L1","rep_61","Reed","profits",176.776417590576
"362","L1","rep_62","Reed","profits",196.971441226992
"363","L1","rep_63","Reed","profits",155.874827747564
"364","L1","rep_64","Reed","profits",155.375556275475
"365","L1","rep_65","Reed","profits",171.44640544639
"366","L1","rep_66","Reed","profits",154.067292128217
"367","L1","rep_67","Reed","profits",150.800914529414
"368","L1","rep_68","Reed","profits",185.300707069177
"369","L1","rep_69","Reed","profits",128.200629325174
"370","L1","rep_70","Reed","profits",183.763227848705
