"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"300","fixed",50,"harvest.autocorrelation",-0.105017260838075,0,"autocor","harvest"
"301","L1",1,"stock.variance",5.47716710365792,0.0526315789473684,"variance","harvest"
"302","L2",1,"stock.variance",4.74566232999743,0.0526315789473684,"variance","harvest"
"303","fixed",1,"stock.variance",5.15151049994312,0.0526315789473684,"variance","harvest"
"304","L1",2,"stock.variance",5.21488204292373,0.0526315789473684,"variance","harvest"
"305","L2",2,"stock.variance",5.35356361450262,0.0526315789473684,"variance","harvest"
"306","fixed",2,"stock.variance",7.54591190680171,0.0526315789473684,"variance","harvest"
"307","L1",3,"stock.variance",4.37744493529188,0.0526315789473684,"variance","harvest"
"308","L2",3,"stock.variance",4.53138812340693,0.0526315789473684,"variance","harvest"
"309","fixed",3,"stock.variance",4.50299410032324,0.0526315789473684,"variance","harvest"
"310","L1",4,"stock.variance",4.42851210200265,0.0526315789473684,"variance","harvest"
"311","L2",4,"stock.variance",3.76935956084255,0.0526315789473684,"variance","harvest"
"312","fixed",4,"stock.variance",5.11444677241588,0.0526315789473684,"variance","harvest"
"313","L1",5,"stock.variance",4.35721175374686,0.0526315789473684,"variance","harvest"
"314","L2",5,"stock.variance",4.57057285307685,0.0526315789473684,"variance","harvest"
"315","fixed",5,"stock.variance",4.16019724896441,0.0526315789473684,"variance","harvest"
"316","L1",6,"stock.variance",3.94464238846839,0.0526315789473684,"variance","harvest"
"317","L2",6,"stock.variance",4.83977144726278,0.0526315789473684,"variance","harvest"
"318","fixed",6,"stock.variance",4.80538243936694,0.0526315789473684,"variance","harvest"
"319","L1",7,"stock.variance",4.22016046918683,0.0526315789473684,"variance","harvest"
"320","L2",7,"stock.variance",5.4611727411921,0.0526315789473684,"variance","harvest"
"321","fixed",7,"stock.variance",4.54796753493917,0.0526315789473684,"variance","harvest"
"322","L1",8,"stock.variance",4.55877563817291,0.0526315789473684,"variance","harvest"
"323","L2",8,"stock.variance",5.49054497625711,0.0526315789473684,"variance","harvest"
"324","fixed",8,"stock.variance",3.99463456646716,0.0526315789473684,"variance","harvest"
"325","L1",9,"stock.variance",3.7656987651823,0.0526315789473684,"variance","harvest"
"326","L2",9,"stock.variance",5.01170645649892,0.0526315789473684,"variance","harvest"
"327","fixed",9,"stock.variance",7.78335052830908,0.0526315789473684,"variance","harvest"
"328","L1",10,"stock.variance",3.81427888100746,0.0526315789473684,"variance","harvest"
"329","L2",10,"stock.variance",5.85593950554068,0.0526315789473684,"variance","harvest"
