"","time","penalty_fn","replicate","variable","value","baseline"
"1501",1,"L2","rep_16","harvest",2.12979591836735,"penalty"
"1502",2,"L2","rep_16","harvest",2.45591836734694,"penalty"
"1503",3,"L2","rep_16","harvest",1.64061224489796,"penalty"
"1504",4,"L2","rep_16","harvest",1.96673469387755,"penalty"
"1505",5,"L2","rep_16","harvest",0.499183673469388,"penalty"
"1506",6,"L2","rep_16","harvest",1.31448979591837,"penalty"
"1507",7,"L2","rep_16","harvest",0.988367346938776,"penalty"
"1508",8,"L2","rep_16","harvest",0.336122448979592,"penalty"
"1509",9,"L2","rep_16","harvest",0.662244897959184,"penalty"
"1510",10,"L2","rep_16","harvest",1.47755102040816,"penalty"
"1511",11,"L2","rep_16","harvest",1.80367346938776,"penalty"
"1512",12,"L2","rep_16","harvest",2.78204081632653,"penalty"
"1513",13,"L2","rep_16","harvest",2.12979591836735,"penalty"
"1514",14,"L2","rep_16","harvest",0.988367346938776,"penalty"
"1515",15,"L2","rep_16","harvest",1.96673469387755,"penalty"
"1516",16,"L2","rep_16","harvest",2.29285714285714,"penalty"
"1517",17,"L2","rep_16","harvest",0.988367346938776,"penalty"
"1518",18,"L2","rep_16","harvest",1.80367346938776,"penalty"
"1519",19,"L2","rep_16","harvest",3.76040816326531,"penalty"
"1520",20,"L2","rep_16","harvest",0,"penalty"
"1521",1,"L2","rep_17","harvest",2.12979591836735,"penalty"
"1522",2,"L2","rep_17","harvest",1.31448979591837,"penalty"
"1523",3,"L2","rep_17","harvest",0.988367346938776,"penalty"
"1524",4,"L2","rep_17","harvest",0.82530612244898,"penalty"
"1525",5,"L2","rep_17","harvest",0.336122448979592,"penalty"
"1526",6,"L2","rep_17","harvest",1.15142857142857,"penalty"
"1527",7,"L2","rep_17","harvest",0.988367346938776,"penalty"
"1528",8,"L2","rep_17","harvest",1.64061224489796,"penalty"
"1529",9,"L2","rep_17","harvest",2.78204081632653,"penalty"
"1530",10,"L2","rep_17","harvest",2.29285714285714,"penalty"
"1531",11,"L2","rep_17","harvest",1.64061224489796,"penalty"
"1532",12,"L2","rep_17","harvest",2.12979591836735,"penalty"
"1533",13,"L2","rep_17","harvest",2.12979591836735,"penalty"
"1534",14,"L2","rep_17","harvest",2.45591836734694,"penalty"
"1535",15,"L2","rep_17","harvest",1.96673469387755,"penalty"
"1536",16,"L2","rep_17","harvest",2.78204081632653,"penalty"
"1537",17,"L2","rep_17","harvest",2.29285714285714,"penalty"
"1538",18,"L2","rep_17","harvest",2.94510204081633,"penalty"
"1539",19,"L2","rep_17","harvest",4.90183673469388,"penalty"
"1540",20,"L2","rep_17","harvest",0,"penalty"
"1541",1,"L2","rep_18","harvest",2.12979591836735,"penalty"
"1542",2,"L2","rep_18","harvest",2.94510204081633,"penalty"
"1543",3,"L2","rep_18","harvest",3.59734693877551,"penalty"
"1544",4,"L2","rep_18","harvest",0.988367346938776,"penalty"
"1545",5,"L2","rep_18","harvest",0.662244897959184,"penalty"
"1546",6,"L2","rep_18","harvest",0.499183673469388,"penalty"
"1547",7,"L2","rep_18","harvest",0.988367346938776,"penalty"
"1548",8,"L2","rep_18","harvest",0.336122448979592,"penalty"
"1549",9,"L2","rep_18","harvest",1.96673469387755,"penalty"
"1550",10,"L2","rep_18","harvest",1.96673469387755,"penalty"
"1551",11,"L2","rep_18","harvest",2.61897959183673,"penalty"
"1552",12,"L2","rep_18","harvest",0.499183673469388,"penalty"
"1553",13,"L2","rep_18","harvest",1.15142857142857,"penalty"
"1554",14,"L2","rep_18","harvest",0.499183673469388,"penalty"
"1555",15,"L2","rep_18","harvest",0.82530612244898,"penalty"
"1556",16,"L2","rep_18","harvest",0.499183673469388,"penalty"
"1557",17,"L2","rep_18","harvest",1.64061224489796,"penalty"
"1558",18,"L2","rep_18","harvest",1.64061224489796,"penalty"
"1559",19,"L2","rep_18","harvest",2.78204081632653,"penalty"
"1560",20,"L2","rep_18","harvest",0,"penalty"
"1561",1,"L2","rep_19","harvest",2.12979591836735,"penalty"
